날짜,위치,업종,매출
201910,서울,의류/잡화,1263757
201911,서울,의류/잡화,1251092
201912,서울,의류/잡화,1218961
202001,서울,의류/잡화,1024605
202002,서울,의류/잡화,857523
202003,서울,의류/잡화,790272
202004,서울,의류/잡화,914246
201901,서울,의복/직물,595790
201902,서울,의복/직물,524598
201903,서울,의복/직물,657957
201904,서울,의복/직물,651190
201905,서울,의복/직물,723368
201906,서울,의복/직물,615586
201907,서울,의복/직물,566552
201908,서울,의복/직물,481348
201909,서울,의복/직물,583837
201910,서울,의복/직물,724413
201911,서울,의복/직물,730448
201912,서울,의복/직물,674527
202001,서울,의복/직물,521615
202002,서울,의복/직물,400251
202003,서울,의복/직물,378710
202004,서울,의복/직물,475703
201901,서울,복식잡화,90256
201902,서울,복식잡화,79194
201903,서울,복식잡화,103978
201904,서울,복식잡화,99942
201905,서울,복식잡화,110520
201906,서울,복식잡화,104620
201907,서울,복식잡화,99119
201908,서울,복식잡화,91188
201909,서울,복식잡화,90571
201910,서울,복식잡화,104876
201911,서울,복식잡화,103517
201912,서울,복식잡화,104787
202001,서울,복식잡화,85047
202002,서울,복식잡화,74216
202003,서울,복식잡화,72478
202004,서울,복식잡화,79546
201901,서울,시계/귀금속/안경,201638
201902,서울,시계/귀금속/안경,187289
201903,서울,시계/귀금속/안경,227925
201904,서울,시계/귀금속/안경,211259
201905,서울,시계/귀금속/안경,232816
201906,서울,시계/귀금속/안경,217216
201907,서울,시계/귀금속/안경,211331
201908,서울,시계/귀금속/안경,215308
201909,서울,시계/귀금속/안경,185643
201910,서울,시계/귀금속/안경,198534
201911,서울,시계/귀금속/안경,184226
